region,country_code,year,life_expectancy,gdp_per_capita,population
asia,afg,1800,28.21,599.15,3280000
asia,afg,1801,28.2,599.15,3280000
asia,afg,1802,28.19,599.15,3280000
asia,afg,1803,28.18,599.15,3280000
asia,afg,1804,28.17,599.15,3280000
asia,afg,1805,28.16,599.15,3280000
asia,afg,1806,28.15,599.15,3280000
asia,afg,1807,28.14,599.15,3280000
asia,afg,1808,28.13,599.15,3280000
asia,afg,1809,28.12,599.15,3280000
asia,afg,1810,28.11,599.15,3280000
asia,afg,1811,28.1,599.15,3280000
asia,afg,1812,28.09,599.15,3280000
asia,afg,1813,28.08,599.15,3280000
asia,afg,1814,28.07,599.15,3280000
asia,afg,1815,28.06,599.15,3280000
asia,afg,1816,28.05,599.15,3280000
asia,afg,1817,28.04,599.15,3280000
asia,afg,1818,28.03,599.15,3280000
asia,afg,1819,28.02,599.15,3282935
asia,afg,1820,28.01,599.15,3288817
asia,afg,1821,28,599.15,3297661
asia,afg,1822,27.99,600.51,3309479
asia,afg,1823,27.98,601.87,3324285
asia,afg,1824,27.97,603.23,3339157
asia,afg,1825,27.95,604.6,3354095
asia,afg,1826,27.94,605.97,3369101
asia,afg,1827,27.93,607.34,3384173
asia,afg,1828,27.92,608.72,3399313
asia,afg,1829,27.91,610.1,3414520
asia,afg,1830,27.9,611.48,3429796
asia,afg,1831,27.89,612.86,3445140
asia,afg,1832,27.88,614.25,3460553
asia,afg,1833,27.87,615.65,3476034
asia,afg,1834,27.86,617.04,3491585
asia,afg,1835,27.85,618.44,3507205
asia,afg,1836,27.84,619.84,3522896
asia,afg,1837,27.83,621.24,3538656
asia,afg,1838,27.82,622.65,3554487
asia,afg,1839,27.81,624.06,3570389
asia,afg,1840,27.8,625.48,3586362
asia,afg,1841,27.79,626.89,3602406
asia,afg,1842,27.78,628.31,3618522
asia,afg,1843,27.77,629.74,3634711
asia,afg,1844,27.76,631.16,3650971
asia,afg,1845,27.75,632.59,3667305
asia,afg,1846,27.74,634.03,3683711
asia,afg,1847,27.73,635.46,3700191
asia,afg,1848,27.72,636.9,3716745
asia,afg,1849,27.71,638.35,3734342
asia,afg,1850,27.7,639.79,3752993
asia,afg,1851,27.69,641.24,3767956
asia,afg,1852,27.68,642.7,3783940
asia,afg,1853,27.67,644.15,3800954
asia,afg,1854,27.66,645.61,3818038
asia,afg,1855,27.65,647.08,3835192
asia,afg,1856,27.64,648.54,3852417
asia,afg,1857,27.63,650.01,3869714
asia,afg,1858,27.62,651.48,3887081
asia,afg,1859,27.61,652.96,3904521
asia,afg,1860,27.6,654.44,3922032
asia,afg,1861,27.59,655.92,3939616
asia,afg,1862,27.58,657.41,3957271
asia,afg,1863,27.57,658.9,3975000
asia,afg,1864,27.56,660.39,3992801
asia,afg,1865,27.54,661.89,4010675
asia,afg,1866,27.53,663.39,4028623
asia,afg,1867,27.52,664.89,4046645
asia,afg,1868,27.51,666.4,4064740
asia,afg,1869,27.5,667.91,4082915
asia,afg,1870,27.49,669.42,4101170
asia,afg,1871,27.69,670.94,4119504
asia,afg,1872,27.89,672.46,4137920
asia,afg,1873,28.08,673.98,4156416
asia,afg,1874,28.28,675.51,4174988
asia,afg,1875,28.47,677.04,4193635
asia,afg,1876,28.67,678.57,4212359
asia,afg,1877,28.87,680.11,4231159
asia,afg,1878,29.06,681.65,4250036
asia,afg,1879,29.26,683.2,4268990
asia,afg,1880,29.45,684.74,4288021
asia,afg,1881,29.65,684.74,4307129
asia,afg,1882,29.84,693.39,4326316
asia,afg,1883,30.03,702.16,4345580
asia,afg,1884,30.23,711.03,4364922
asia,afg,1885,30.42,720.01,4384343
asia,afg,1886,30.62,729.11,4403843
asia,afg,1887,30.81,738.32,4423422
asia,afg,1888,31.01,747.65,4443080
asia,afg,1889,31.2,757.1,4462817
asia,afg,1890,31.39,766.66,4482635
asia,afg,1891,31.59,776.35,4502532
asia,afg,1892,31.78,786.16,4522510
asia,afg,1893,31.97,796.09,4542568
asia,afg,1894,32.16,806.15,4562708
asia,afg,1895,32.36,816.34,4582928
asia,afg,1896,32.55,826.65,4603230
asia,afg,1897,32.74,837.1,4623613
asia,afg,1898,32.93,847.68,4644079
asia,afg,1899,33.13,858.39,4672084
asia,afg,1900,33.32,869.23,4707744
asia,afg,1901,33.51,880.22,4751177
asia,afg,1902,33.7,891.34,4802500
asia,afg,1903,33.89,902.6,4861833
asia,afg,1904,34.08,914.01,4921891
asia,afg,1905,34.28,925.55,4982681
asia,afg,1906,34.47,937.25,5044212
asia,afg,1907,34.66,949.09,5106495
asia,afg,1908,34.85,961.08,5169536
asia,afg,1909,35.04,973.23,5300178
asia,afg,1910,35.23,985.52,5504191
asia,afg,1911,35.42,997.98,5787792
asia,afg,1912,35.61,1010.59,6157669
asia,afg,1913,35.8,1023.36,6621025
asia,afg,1914,35.99,1036.29,7119235
asia,afg,1915,36.18,1049.38,7654918
asia,afg,1916,36.37,1062.64,8230894
asia,afg,1917,36.56,1076.07,8850190
asia,afg,1918,9.59,1089.66,9529174
asia,afg,1919,36.94,1103.43,9976355
asia,afg,1920,37.12,1117.37,10188845
asia,afg,1921,37.31,1131.49,10162753
asia,afg,1922,37.5,1145.79,9893152
asia,afg,1923,37.69,1160.27,9374030
asia,afg,1924,37.88,1174.93,8882148
asia,afg,1925,38.07,1189.77,8416077
asia,afg,1926,38.25,1204.81,7974462
asia,afg,1927,38.44,1220.03,7556019
asia,afg,1928,38.63,1235.44,7159534
asia,afg,1929,38.82,1251.05,6851115
asia,afg,1930,39,1266.86,6626142
asia,afg,1931,39.19,1282.87,6480237
asia,afg,1932,39.38,1299.08,6409250
asia,afg,1933,39.57,1315.49,6409250
asia,afg,1934,39.75,1332.11,6409250
asia,afg,1935,39.94,1348.95,6409250
asia,afg,1936,40.12,1365.99,6409250
asia,afg,1937,40.31,1383.25,6409250
asia,afg,1938,40.5,1400.73,6409250
asia,afg,1939,40.68,1418.43,6428903
asia,afg,1940,40.87,1436.35,6468510
asia,afg,1941,41.05,1456.98,6528377
asia,afg,1942,41.24,1477.9,6608815
asia,afg,1943,41.43,1499.12,6710138
asia,afg,1944,41.61,1520.65,6813016
asia,afg,1945,41.8,1542.48,6917471
asia,afg,1946,41.98,1564.63,7023527
asia,afg,1947,42.16,1587.1,7131209
asia,afg,1948,42.35,1609.89,7240542
asia,afg,1949,42.53,1633.01,7356890
asia,afg,1950,42.72,1656.46,7480461
asia,afg,1951,42.92,1700.59,7571537
asia,afg,1952,43.14,1731.15,7667533
asia,afg,1953,43.45,1808.48,7764546
asia,afg,1954,43.34,1818.86,7864285
asia,afg,1955,43.88,1823.42,7971931
asia,afg,1956,44.07,1873.44,8087727
asia,afg,1957,44.29,1839.92,8210201
asia,afg,1958,44.5,1909.24,8333826
asia,afg,1959,44.73,1925.75,8468211
asia,afg,1960,45.03,1957.08,8622466
asia,afg,1961,45.28,1935.28,8790140
asia,afg,1962,45.51,1928.2,8969047
asia,afg,1963,45.69,1925.55,9157465
asia,afg,1964,45.91,1918.43,9355514
asia,afg,1965,46.13,1920.21,9565147
asia,afg,1966,46.3,1896.64,9783147
asia,afg,1967,46.48,1907.34,10010030
asia,afg,1968,46.68,1930.03,10247780
asia,afg,1969,46.87,1915.34,10494489
asia,afg,1970,47.08,1909.59,10752971
asia,afg,1971,47.26,1860.21,11015857
asia,afg,1972,47.27,1516.91,11286753
asia,afg,1973,47.33,1525.53,11575305
asia,afg,1974,47.41,1570.45,11869879
asia,afg,1975,47.55,1626.12,12157386
asia,afg,1976,47.72,1675.9,12425267
asia,afg,1977,47.87,1552.66,12687301
asia,afg,1978,46.42,1628.35,12938862
asia,afg,1979,44.68,1559.48,12986369
asia,afg,1980,43.68,1556.02,12486631
asia,afg,1981,44.34,1749.87,11155195
asia,afg,1982,44.06,1945.91,10088289
asia,afg,1983,42.27,2067.41,9951449
asia,afg,1984,39.9,2055.55,10243686
asia,afg,1985,42.03,2008.23,10512221
asia,afg,1986,43.27,2073.36,10448442
asia,afg,1987,45.88,1871.36,10322758
asia,afg,1988,48.51,1704.28,10383460
asia,afg,1989,52.73,1549.02,10673168
asia,afg,1990,53.83,1495.74,10694796
asia,afg,1991,53.76,1370.98,10745167
asia,afg,1992,54.24,1315.19,12057433
asia,afg,1993,54.4,902.98,14003760
asia,afg,1994,53.89,669.98,15455555
asia,afg,1995,54.33,991.49,16418912
asia,afg,1996,54.69,941.76,17106595
asia,afg,1997,54.46,896.88,17788819
asia,afg,1998,53.34,858.16,18493132
asia,afg,1999,54.73,818.02,19262847
asia,afg,2000,54.73,793.68,19542982
asia,afg,2001,54.83,774.95,19688632
asia,afg,2002,55.54,1263.15,21000256
asia,afg,2003,56.5,1283.03,22645130
asia,afg,2004,57.14,1258.3,23553551
asia,afg,2005,57.63,1353.98,24411191
asia,afg,2006,58,1374.68,25442944
asia,afg,2007,58.5,1539,25903301
asia,afg,2008,59.18,1565.32,26427199
asia,afg,2009,59.9,1828.89,27385307
asia,afg,2010,60.46,2026.16,28189672
asia,afg,2011,61.02,1961.1,29249157
asia,afg,2012,61.43,2122.83,30466479
asia,afg,2013,61.93,2165.34,31541209
asia,afg,2014,61.93,2144.45,32716210
